bin, 0, end
bin\Code\F00163, 0, qst: Data\T2\T1.in, score: 0, qst: Data\T1\T2.in, score: 0, qst: Data\T1\T1.in, score: 0, qst: Data\T2\T3.in, score: 0, qst: Data\T2\T2.in, score: 0, end
bin\Code\F00171, 5, qst: Data\T1\T2.in, score: 1, qst: Data\T2\T3.in, score: 0, qst: Data\T3\T2.in, score: 0, qst: Data\T2\T1.in, score: 1, qst: Data\T2\T2.in, score: 1, qst: Data\T3\T1.in, score: 1, qst: Data\T4\T2.in, score: 1, qst: Data\T4\T1.in, score: 0, qst: Data\T1\T1.in, score: 0, end
bin\Code\F00184, 6, qst: Data\T1\T2.in, score: 1, qst: Data\T2\T1.in, score: 1, qst: Data\T2\T2.in, score: 1, qst: Data\T2\T3.in, score: 0, qst: Data\T1\T1.in, score: 1, qst: Data\T4\T2.in, score: 1, qst: Data\T3\T2.in, score: 1, qst: Data\T4\T1.in, score: 0, qst: Data\T3\T1.in, score: 0, end
bin\Code\F00189, 6, qst: Data\T1\T2.in, score: 1, qst: Data\T2\T2.in, score: 1, qst: Data\T2\T3.in, score: 0, qst: Data\T1\T1.in, score: 1, qst: Data\T2\T1.in, score: 1, qst: Data\T4\T1.in, score: 0, qst: Data\T4\T2.in, score: 0, qst: Data\T3\T2.in, score: 1, qst: Data\T3\T1.in, score: 1, end
bin\Code\F00191, 3, qst: Data\T2\T2.in, score: 1, qst: Data\T2\T1.in, score: 1, qst: Data\T2\T3.in, score: 0, qst: Data\T4\T2.in, score: 1, qst: Data\T4\T1.in, score: 0, qst: Data\T1\T1.in, score: 0, qst: Data\T1\T2.in, score: 0, end
bin\Code\F00194, 6, qst: Data\T1\T2.in, score: 1, qst: Data\T2\T1.in, score: 1, qst: Data\T3\T2.in, score: 1, qst: Data\T4\T2.in, score: 0, qst: Data\T1\T1.in, score: 1, qst: Data\T2\T3.in, score: 0, qst: Data\T2\T2.in, score: 1, qst: Data\T4\T1.in, score: 0, qst: Data\T3\T1.in, score: 1, end
bin\Code\F00200, 3, qst: Data\T3\T1.in, score: 0, qst: Data\T1\T2.in, score: 1, qst: Data\T3\T2.in, score: 1, qst: Data\T1\T1.in, score: 1, qst: Data\T2\T1.in, score: 0, qst: Data\T2\T3.in, score: 0, qst: Data\T2\T2.in, score: 0, end
bin\Code\F00203, 7, qst: Data\T1\T2.in, score: 1, qst: Data\T2\T2.in, score: 1, qst: Data\T4\T1.in, score: 0, qst: Data\T3\T2.in, score: 1, qst: Data\T1\T1.in, score: 1, qst: Data\T2\T1.in, score: 1, qst: Data\T3\T1.in, score: 1, qst: Data\T2\T3.in, score: 0, qst: Data\T4\T2.in, score: 1, end
bin\Code\F00207, 3, qst: Data\T2\T3.in, score: 0, qst: Data\T3\T1.in, score: 0, qst: Data\T2\T2.in, score: 1, qst: Data\T3\T2.in, score: 0, qst: Data\T2\T1.in, score: 1, qst: Data\T1\T2.in, score: 1, qst: Data\T1\T1.in, score: 0, end
bin\Code\F00224, 5, qst: Data\T2\T1.in, score: 1, qst: Data\T1\T2.in, score: 1, qst: Data\T2\T2.in, score: 1, qst: Data\T1\T1.in, score: 1, qst: Data\T3\T2.in, score: 0, qst: Data\T2\T3.in, score: 0, qst: Data\T3\T1.in, score: 0, qst: Data\T4\T2.in, score: 1, qst: Data\T4\T1.in, score: 0, end
bin\Code\F00228, 5, qst: Data\T1\T2.in, score: 1, qst: Data\T1\T1.in, score: 1, qst: Data\T2\T2.in, score: 1, qst: Data\T2\T1.in, score: 1, qst: Data\T4\T1.in, score: 0, qst: Data\T2\T3.in, score: 0, qst: Data\T4\T2.in, score: 0, qst: Data\T3\T2.in, score: 0, qst: Data\T3\T1.in, score: 1, end
bin\Code\F00232, 7, qst: Data\T1\T1.in, score: 1, qst: Data\T2\T3.in, score: 0, qst: Data\T1\T2.in, score: 1, qst: Data\T2\T2.in, score: 1, qst: Data\T2\T1.in, score: 1, qst: Data\T4\T2.in, score: 1, qst: Data\T4\T1.in, score: 0, qst: Data\T3\T2.in, score: 1, qst: Data\T3\T1.in, score: 1, end
bin\Code\F00233, 2, qst: Data\T2\T1.in, score: 1, qst: Data\T4\T2.in, score: 0, qst: Data\T2\T3.in, score: 0, qst: Data\T2\T2.in, score: 1, qst: Data\T4\T1.in, score: 0, qst: Data\T1\T2.in, score: 0, qst: Data\T1\T1.in, score: 0, end
bin\Code\F00241, 4, qst: Data\T1\T2.in, score: 0, qst: Data\T3\T2.in, score: 1, qst: Data\T2\T3.in, score: 0, qst: Data\T1\T1.in, score: 0, qst: Data\T4\T2.in, score: 1, qst: Data\T2\T2.in, score: 1, qst: Data\T3\T1.in, score: 0, qst: Data\T2\T1.in, score: 1, qst: Data\T4\T1.in, score: 0, end
bin\Code\F00243, 4, qst: Data\T1\T2.in, score: 1, qst: Data\T2\T3.in, score: 0, qst: Data\T2\T2.in, score: 1, qst: Data\T2\T1.in, score: 1, qst: Data\T3\T1.in, score: 0, qst: Data\T3\T2.in, score: 1, qst: Data\T1\T1.in, score: 0, end
bin\Code\F00252, 6, qst: Data\T2\T2.in, score: 1, qst: Data\T1\T2.in, score: 1, qst: Data\T1\T1.in, score: 1, qst: Data\T3\T2.in, score: 0, qst: Data\T2\T1.in, score: 1, qst: Data\T2\T3.in, score: 1, qst: Data\T3\T1.in, score: 1, qst: Data\T4\T2.in, score: 0, qst: Data\T4\T1.in, score: 0, end
bin\Code\F00254, 2, qst: Data\T1\T2.in, score: 0, qst: Data\T2\T3.in, score: 0, qst: Data\T2\T2.in, score: 1, qst: Data\T2\T1.in, score: 1, qst: Data\T3\T1.in, score: 0, qst: Data\T3\T2.in, score: 0, qst: Data\T4\T2.in, score: 0, qst: Data\T4\T1.in, score: 0, qst: Data\T1\T1.in, score: 0, end
bin\Code\F00258, 7, qst: Data\T1\T2.in, score: 1, qst: Data\T2\T3.in, score: 0, qst: Data\T2\T2.in, score: 1, qst: Data\T1\T1.in, score: 1, qst: Data\T2\T1.in, score: 1, qst: Data\T4\T1.in, score: 0, qst: Data\T4\T2.in, score: 1, qst: Data\T3\T2.in, score: 1, qst: Data\T3\T1.in, score: 1, end
bin\Code\F00263, 6, qst: Data\T1\T1.in, score: 1, qst: Data\T2\T3.in, score: 0, qst: Data\T1\T2.in, score: 1, qst: Data\T2\T2.in, score: 1, qst: Data\T3\T1.in, score: 0, qst: Data\T2\T1.in, score: 1, qst: Data\T3\T2.in, score: 1, qst: Data\T4\T2.in, score: 1, qst: Data\T4\T1.in, score: 0, end
bin\Code\F00269, 2, qst: Data\T1\T2.in, score: 0, qst: Data\T2\T3.in, score: 0, qst: Data\T3\T1.in, score: 0, qst: Data\T1\T1.in, score: 0, qst: Data\T2\T1.in, score: 1, qst: Data\T2\T2.in, score: 1, qst: Data\T3\T2.in, score: 0, qst: Data\T4\T1.in, score: 0, qst: Data\T4\T2.in, score: 0, end
bin\Code\F00278, 6, qst: Data\T1\T1.in, score: 1, qst: Data\T1\T2.in, score: 1, qst: Data\T2\T3.in, score: 0, qst: Data\T3\T1.in, score: 1, qst: Data\T2\T2.in, score: 1, qst: Data\T2\T1.in, score: 1, qst: Data\T4\T2.in, score: 0, qst: Data\T3\T2.in, score: 0, qst: Data\T4\T1.in, score: 1, end
bin\Code\F00280, 4, qst: Data\T1\T2.in, score: 1, qst: Data\T2\T3.in, score: 0, qst: Data\T4\T2.in, score: 0, qst: Data\T2\T2.in, score: 1, qst: Data\T2\T1.in, score: 1, qst: Data\T4\T1.in, score: 0, qst: Data\T3\T2.in, score: 0, qst: Data\T1\T1.in, score: 1, qst: Data\T3\T1.in, score: 0, end
bin\Code\F00283, 8, qst: Data\T1\T1.in, score: 1, qst: Data\T2\T2.in, score: 1, qst: Data\T2\T3.in, score: 0, qst: Data\T1\T2.in, score: 1, qst: Data\T2\T1.in, score: 1, qst: Data\T4\T1.in, score: 1, qst: Data\T4\T2.in, score: 1, qst: Data\T3\T2.in, score: 1, qst: Data\T3\T1.in, score: 1, end
bin\Code\F00287, 6, qst: Data\T2\T3.in, score: 0, qst: Data\T1\T1.in, score: 1, qst: Data\T2\T2.in, score: 1, qst: Data\T1\T2.in, score: 1, qst: Data\T2\T1.in, score: 1, qst: Data\T3\T1.in, score: 0, qst: Data\T3\T2.in, score: 1, qst: Data\T4\T2.in, score: 1, qst: Data\T4\T1.in, score: 0, end
bin\Code\F00288, 6, qst: Data\T1\T2.in, score: 1, qst: Data\T2\T3.in, score: 0, qst: Data\T2\T1.in, score: 1, qst: Data\T1\T1.in, score: 1, qst: Data\T3\T1.in, score: 0, qst: Data\T2\T2.in, score: 1, qst: Data\T3\T2.in, score: 1, qst: Data\T4\T1.in, score: 0, qst: Data\T4\T2.in, score: 1, end
bin\Code\F00290, 6, qst: Data\T1\T1.in, score: 1, qst: Data\T1\T2.in, score: 1, qst: Data\T2\T3.in, score: 0, qst: Data\T4\T1.in, score: 0, qst: Data\T2\T2.in, score: 1, qst: Data\T2\T1.in, score: 1, qst: Data\T4\T2.in, score: 0, qst: Data\T3\T2.in, score: 1, qst: Data\T3\T1.in, score: 1, end
bin\Code\F00291, 8, qst: Data\T1\T2.in, score: 1, qst: Data\T2\T1.in, score: 1, qst: Data\T2\T3.in, score: 0, qst: Data\T1\T1.in, score: 1, qst: Data\T2\T2.in, score: 1, qst: Data\T4\T2.in, score: 1, qst: Data\T4\T1.in, score: 1, qst: Data\T3\T2.in, score: 1, qst: Data\T3\T1.in, score: 1, end
bin\Code\F00319, 6, qst: Data\T1\T1.in, score: 1, qst: Data\T2\T2.in, score: 1, qst: Data\T3\T2.in, score: 0, qst: Data\T1\T2.in, score: 1, qst: Data\T3\T1.in, score: 1, qst: Data\T2\T1.in, score: 1, qst: Data\T2\T3.in, score: 0, qst: Data\T4\T2.in, score: 0, qst: Data\T4\T1.in, score: 1, end
